institution_key,institution,type,in_target,contacts,research,· Senior,· Operational,· Academic,finance,it_systems,unclassified,personas_held,valid_emails,missing_personas
lighthouse schools partnership,Lighthouse Schools Partnership,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
lines between,The Lines Between,Unclassified,No,1,1,0,1,0,0,0,0,1,1,Finance  IT/Systems
london academy of excellence stratford,London Academy Of Excellence - Stratford,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
london school of commerce london united kingdom,London School Of Commerce London United Kingdom,School / academy trust,No,1,0,0,0,0,0,1,0,1,1,Research  Finance  
london school of management education,London School Of Management Education,University,Yes,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
london school of science and technology,London School Of Science & Technology,School / academy trust,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
london school of theology,London School Of Theology,University,Yes,1,1,1,0,0,0,0,0,1,0,Finance  IT/Systems
loxford school trust,Loxford School Trust,School / academy trust,No,1,0,0,0,0,0,1,0,1,1,Research  Finance  
lse middle east centre,LSE Middle East Centre,University,Yes,1,1,0,1,0,0,0,0,1,1,Finance  IT/Systems
lupc,LUPC,Unclassified,No,1,0,0,0,0,0,0,1,0,1,Research  Finance  IT/Systems
m and c saatchi world services,M&C Saatchi World Services,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
macro advisory ltd,Macro-Advisory Ltd.,Company,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
macular society,Macular Society,Charity / membership body,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
mall research consultancy ltd,Mall Research Consultancy Ltd,Company,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
manageable,Manageable,Unclassified,No,1,0,0,0,0,0,1,0,1,1,Research  Finance  
manchester law school university,The University Of Manchester Law School,University,Yes,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
marie curie uk,Marie Curie UK,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
maru group,Maru Group,Company,No,1,1,1,0,0,0,0,0,1,0,Finance  IT/Systems
mccann,McCann,Unclassified,No,1,1,0,0,0,0,0,0,1,0,Finance  IT/Systems
medical research council london institute of medical sciences,Medical Research Council London Institute of Medical Sciences,Research institute,Yes,1,1,0,1,0,0,0,0,1,1,Finance  IT/Systems
miller research ltd,Miller Research Ltd,Company,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
mindlab international,Mindlab International,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
mink therapeutics,MiNK Therapeutics,Unclassified,No,1,1,1,0,0,0,0,0,1,0,Finance  IT/Systems
mnd scotland,MND Scotland,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
modern slavery and human rights policy and evidence centre,Modern Slavery And Human Rights Policy And Evidence Centre,Unclassified,Yes,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
mont rose college,Mont Rose College,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
morrisby,Morrisby,Unclassified,No,1,0,0,0,0,0,1,0,1,1,Research  Finance  
mps uk group ltd,MPS UK Group Ltd,Company,No,1,0,0,0,0,1,0,0,1,0,Research  IT/Systems
my ohana,My Ohana,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
myriad research,Myriad Research,Unclassified,Yes,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
n8 research partnership,N8 Research Partnership,Unclassified,Yes,1,1,0,1,0,0,0,0,1,1,Finance  IT/Systems
native antigen company,The Native Antigen Company,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
neupc,NEUPC,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
new college of the humanities,New College Of The Humanities,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
new london educational trust,New London Educational Trust,Charity / membership body,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
new wave federation,New Wave Federation,Charity / membership body,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
neway training solutions ltd,Neway Training Solutions Ltd,Company,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
newman university birmingham,Newman University Birmingham,University,Yes,1,1,0,1,0,0,0,0,1,0,Finance  IT/Systems
nexus education schools trust,Nexus Education Schools Trust,Charity / membership body,No,1,1,0,1,0,0,0,0,1,1,Finance  IT/Systems
nhs r and d forum,NHS R&D Forum,NHS / healthcare,No,1,1,1,0,0,0,0,0,1,0,Finance  IT/Systems
nihr bioresource,NIHR BioResource,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
nimbuspoint consulting,NimbusPoint Consulting,Company,No,1,0,0,0,0,0,0,0,0,1,Research  Finance  IT/Systems
nmite,NMITE,Unclassified,No,1,0,0,0,0,0,1,0,1,1,Research  Finance  
north hertfordshire college,North Hertfordshire College,Unclassified,No,1,0,0,0,0,1,0,0,1,0,Research  IT/Systems
north oxfordshire academy,North Oxfordshire Academy,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
northampton students union university,University Of Northampton Studentsâ€‹ Union,University,Yes,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
northern education trust,Northern Education Trust,Charity / membership body,No,1,0,0,0,0,1,0,0,1,0,Research  IT/Systems
nottingham college,Nottingham College,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
nspcc,NSPCC,Unclassified,No,1,1,0,1,0,0,0,0,1,0,Finance  IT/Systems
nuclera,Nuclera,Unclassified,No,1,1,1,0,0,0,0,0,1,0,Finance  IT/Systems
nuffield trust,Nuffield Trust,Charity / membership body,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
nwupc ltd,NWUPC Ltd.,Company,No,1,0,0,0,0,0,0,0,0,1,Research  Finance  IT/Systems
oak multi academy trust,OAK Multi Academy Trust,School / academy trust,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
ocn london,OCN London,Unclassified,No,1,0,0,0,0,1,0,0,1,0,Research  IT/Systems
omdia,Omdia,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
oneday,Oneday,Unclassified,No,1,0,0,0,0,0,1,0,1,1,Research  Finance  
onehive,OneHive,Unclassified,No,1,0,0,0,0,0,1,0,1,0,Research  Finance  
open college of the arts,Open College Of The Arts,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
open inclusion,Open Inclusion,Unclassified,No,1,1,1,0,0,0,0,0,1,0,Finance  IT/Systems
opogo,Opogo,Unclassified,No,1,0,0,0,0,0,1,0,1,1,Research  Finance  
oratory school,The Oratory School,School / academy trust,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
orchard hill college and academy trust,Orchard Hill College & Academy Trust,School / academy trust,No,1,0,0,0,0,1,0,0,1,0,Research  IT/Systems
orchard therapeutics,Orchard Therapeutics,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
oriel square limited,Oriel Square Limited,Company,No,1,1,0,1,0,0,0,0,1,0,Finance  IT/Systems
orpheus institute,Orpheus Institute,Research institute,Yes,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
orwell multi academy trust,Orwell Multi Academy Trust,School / academy trust,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
osborne co operative academy,Osborne Co-operative Academy,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
ossianix,Ossianix,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
overviewfx,OverviewFX,Unclassified,No,1,0,0,0,0,0,1,0,1,1,Research  Finance  
oviva therapeutics,Oviva Therapeutics,Unclassified,No,1,1,1,0,0,0,0,0,1,0,Finance  IT/Systems
oxford centre for hindu studies,Oxford Centre For Hindu Studies,Research institute,Yes,1,1,0,0,1,0,0,0,1,1,Finance  IT/Systems
oxford measured,Oxford MeasurEd,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
pangea bio,Pangea Bio,Unclassified,No,1,1,1,0,0,0,0,0,1,0,Finance  IT/Systems
paragraf,Paragraf,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
parkinson s uk,Parkinson's UK,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
pdr international centre for design and research,PDR International Centre For Design And Research,Research institute,Yes,1,1,1,0,0,0,0,0,1,0,Finance  IT/Systems
phasecraft,Phasecraft,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
pie,The PIE,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
planet education networks,Planet Education Networks,Unclassified,No,1,0,0,0,0,0,1,0,1,1,Research  Finance  
plasticell limited,Plasticell Limited,Company,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
plumpton college,Plumpton College,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
plymouth college of art,Plymouth College Of Art,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
populus select ltd,Populus Select Ltd,Company,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
prenton high school,Prenton High School,School / academy trust,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
prince s mead school,Prince's Mead School,School / academy trust,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
prior s field school,Prior's Field School,School / academy trust,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
progressive,Progressive,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
project access,Project Access,Unclassified,No,1,1,0,1,0,0,0,0,1,1,Finance  IT/Systems
proteus instruments,Proteus Instruments,Unclassified,No,1,1,0,1,0,0,0,0,1,1,Finance  IT/Systems
pspa,PSPA,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
pye tait consulting,Pye Tait Consulting,Company,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
qatar computing research institute,Qatar Computing Research Institute,Research institute,Yes,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
quadram institute bioscience,Quadram Institute Bioscience,Research institute,Yes,1,0,0,0,0,0,0,0,0,1,Research  Finance  IT/Systems
r f associates,R F Associates,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
raised in bristol,Raised In Bristol,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
reflections nursery and small school,Reflections Nursery & Small School,School / academy trust,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
research by design,Research By Design,Unclassified,Yes,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
research england uk research councils,"Research England, UK Research Councils",Unclassified,Yes,1,0,0,0,0,0,0,1,0,1,Research  Finance  IT/Systems
revealing reality,Revealing Reality,Unclassified,No,1,1,1,0,0,0,0,0,1,0,Finance  IT/Systems
review port,Review Port,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
ridc,RiDC,Unclassified,No,1,1,1,0,0,0,0,0,1,0,Finance  IT/Systems
rise multi academy trust,Rise Multi Academy Trust,School / academy trust,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
roffey park institute,Roffey Park Institute,Research institute,Yes,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
s rm,S-RM,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
sainsbury laboratory,The Sainsbury Laboratory,Unclassified,Yes,1,0,0,0,0,0,0,1,0,1,Research  Finance  IT/Systems
salterns academy trust,Salterns Academy Trust,School / academy trust,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
sarum college,Sarum College,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
sarvari research trust,SARVARI RESEARCH TRUST,Charity / membership body,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
sawston nursery,Sawston Nursery,School / academy trust,No,1,0,0,0,0,1,0,0,1,0,Research  IT/Systems
scbm services,SCBM Services,Unclassified,No,1,0,0,0,0,1,0,0,1,0,Research  IT/Systems
scottish council on human bioethics,THE SCOTTISH COUNCIL ON HUMAN BIOETHICS,Charity / membership body,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
scottish funding council,Scottish Funding Council,Charity / membership body,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
select english,Select English,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
self employed,Self-Employed,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
seychelles islands foundation,Seychelles Islands Foundation,Charity / membership body,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
shiplake college,Shiplake College,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
shipley college,Shipley College,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
shortwork,Shortwork,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
silent spring consultants,Silent Spring Consultants,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
soas,SOAS,University,Yes,1,1,0,1,0,0,0,0,1,0,Finance  IT/Systems
social progress imperative,Social Progress Imperative,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
solutions research,Solutions Research,Company,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
source nine insights,Source Nine Insights,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
south cumbria multi academy trust,South Cumbria Multi-Academy Trust,School / academy trust,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
south gloucestershire and stroud college,South Gloucestershire And Stroud College,Unclassified,No,1,0,0,0,0,0,1,0,1,0,Research  Finance  
southern african social policy research institute,Southern African Social Policy Research Institute,Research institute,Yes,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
southern regional college,Southern Regional College,Unclassified,No,1,1,0,1,0,0,0,0,1,0,Finance  IT/Systems
southern universities management services,Southern Universities Management Services,University,Yes,1,0,0,0,0,0,0,0,0,1,Research  Finance  IT/Systems
st abbs marine station,St Abbs Marine Station,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
st chad s academies trust,St Chad's Academies Trust,School / academy trust,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
st christopher school letchworth,St Christopher School Letchworth,School / academy trust,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
st lawrence academies trust,St Lawrence Academies Trust,School / academy trust,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
st teresa of calcutta catholic academy trust,St Teresa Of Calcutta Catholic Academy Trust,School / academy trust,No,1,0,0,0,0,0,1,0,1,1,Research  Finance  
stemres,STEMRES,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
storal,Storal,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
stranmillis university college belfast,Stranmillis University College Belfast,University,Yes,1,1,0,0,1,0,0,0,1,0,Finance  IT/Systems
strode college,Strode College,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
studentcrowd,StudentCrowd,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
students union ucl,Students Union UCL,University,Yes,1,1,0,1,0,0,0,0,1,1,Finance  IT/Systems
suffolk new college,Suffolk New College,Unclassified,No,1,1,0,1,0,0,0,0,1,0,Finance  IT/Systems
tech returners,Tech Returners,Unclassified,No,1,0,0,0,0,0,1,0,1,1,Research  Finance  
teledyne healthcare,Teledyne Healthcare,NHS / healthcare,No,1,0,0,0,0,0,1,0,1,1,Research  Finance  
telltale research,Telltale Research,Unclassified,Yes,1,1,0,0,0,0,0,0,1,0,Finance  IT/Systems
telonostix,TeloNostiX,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
tgc,TGC,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
the built environment university,University of the Built Environment,University,Yes,1,0,0,0,0,0,0,1,0,0,Research  Finance  IT/Systems
thesis,Thesis,Unclassified,No,1,0,0,0,0,0,1,0,1,1,Research  Finance  
thinks insight and strategy,Thinks Insight & Strategy,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
thomass london day schools,Thomass London Day Schools,Unclassified,No,1,0,0,0,0,0,1,0,1,1,Research  Finance  
thrive approach,Thrive Approach,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
thrive childcare and education,Thrive Childcare And Education,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
times higher education,Times Higher Education,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
tooled up education digital platform on education parenting and family life,Tooled Up Education Digital Platform On Education Parenting And Family Life,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
trimetis,Trimetis,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
trinity college bristol,Trinity College Bristol,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
trinity mcqueen,Trinity McQueen,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
truro and penwith college,Truro And Penwith College,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
tutor2u,Tutor2u,Unclassified,No,1,0,0,0,0,0,1,0,1,1,Research  Finance  
twin group,Twin Group,Company,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
ucl centre for advanced research computing,UCL Centre For Advanced Research Computing,University,Yes,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
ucl faculty of life sciences,UCL Faculty Of Life Sciences,University,Yes,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
ucl school of management,UCL School Of Management,University,Yes,1,1,0,0,1,0,0,0,1,1,Finance  IT/Systems
uhi,UHI,Unclassified,No,1,1,0,1,0,0,0,0,1,1,Finance  IT/Systems
uk training and development,UK Training & Development,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
uniquest ltd,UniQuest Ltd.,Company,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
unity education trust,Unity Education Trust,Charity / membership body,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
university and colleges employers association,University and Colleges Employers Association (UCEA),University,Yes,1,0,0,0,0,0,0,0,0,1,Research  Finance  IT/Systems
uwe bristol,UWE Bristol,Unclassified,No,1,0,0,0,0,0,1,0,1,0,Research  Finance  
vauxhall city farm,Vauxhall City Farm,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
ventrus multi academy trust,Ventrus Multi Academy Trust,School / academy trust,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
versus arthritis,Versus Arthritis,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
visionspring,VisionSpring,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
volunteering new zealand t ao aotearoa,Volunteering New Zealand | TÅ«ao Aotearoa,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
wallace high school,The Wallace High School,School / academy trust,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
walnut unlimited,Walnut Unlimited,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
watford grammar school for girls,Watford Grammar School For Girls,School / academy trust,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
we bridge academy,WE Bridge Academy,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
west norfolk academies trust,WEST NORFOLK ACADEMIES TRUST,School / academy trust,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
william evans,William Evans,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
william temple foundation,William Temple Foundation,Charity / membership body,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
wiltshire college and university centre,Wiltshire College & University Centre,University,Yes,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
wise academies,WISE Academies,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
wolverhampton science park limited university,University Of Wolverhampton Science Park Limited,Company,No,1,1,1,0,0,0,0,0,1,0,Finance  IT/Systems
woodbrooke,Woodbrooke,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
world academy of sport,World Academy Of Sport,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
world cancer research fund,World Cancer Research Fund,Charity / membership body,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
yale law school,Yale Law School,University,Yes,1,1,0,0,0,0,0,0,1,0,Finance  IT/Systems
yarrells preparatory school ltd,Yarrells Preparatory School Ltd.,School / academy trust,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
yorkshire universities,Yorkshire Universities,University,Yes,1,0,0,0,0,0,0,1,0,1,Research  Finance  IT/Systems
