institution,contacts_held,research,finance,it_systems,personas_held,what_is_missing,priority,institution_key
MEL Research,2,2,0,0,1,Finance  IT/Systems,3 - low,mel research
National Institute Of Economic And Social Research,2,2,0,0,1,Finance  IT/Systems,3 - low,national institute of economic and social research
National Institute Of Teaching And Education,2,1,0,1,2,Finance  ,3 - low,national institute of teaching and education
Newbold College Of Higher Education,2,1,1,0,2,IT/Systems,3 - low,newbold college of higher education
Qa Research,2,2,0,0,1,Finance  IT/Systems,3 - low,qa research
RAND Europe,2,2,0,0,1,Finance  IT/Systems,3 - low,rand europe
Rose Bruford College,2,2,0,0,1,Finance  IT/Systems,3 - low,rose bruford college
St John's College - University of Cambridge,2,0,1,1,2,Research  ,3 - low,st john s college university of cambridge
University of St Mark & St John,2,1,0,1,2,Finance  ,3 - low,st mark and st john university
St Mary's University,2,2,0,0,1,Finance  IT/Systems,3 - low,st mary s university
Trinity Laban,2,0,2,0,1,Research  IT/Systems,3 - low,trinity laban
UCFB,2,0,2,0,1,Research  IT/Systems,3 - low,ucfb
UHR Universities Human Resources,2,2,0,0,1,Finance  IT/Systems,3 - low,uhr universities human resources
University College London Hospitals NHS Foundation Trust,2,1,1,0,2,IT/Systems,3 - low,university college london hospitals nhs foundation trust
University Of Warwick - Warwick Business School,2,0,2,0,1,Research  IT/Systems,3 - low,warwick warwick business school university
Wellcome Sanger Institute,2,2,0,0,1,Finance  IT/Systems,3 - low,wellcome sanger institute
Wigan & Leigh College And University Centre,2,0,2,0,1,Research  IT/Systems,3 - low,wigan and leigh college and university centre
ABI Research,1,1,0,0,1,Finance  IT/Systems,3 - low,abi research
Academy Of Music & Sound,1,0,1,0,1,Research  IT/Systems,3 - low,academy of music and sound
Ada Lovelace Institute,1,1,0,0,1,Finance  IT/Systems,3 - low,ada lovelace institute
African Institute For Development Policy,1,1,0,0,1,Finance  IT/Systems,3 - low,african institute for development policy
Arc Universities Group,1,0,0,0,0,Research  Finance  IT/Systems,3 - low,arc universities group
Association of Heads of University Administration (AHUA),1,0,0,0,0,Research  Finance  IT/Systems,3 - low,association of heads of university administration
The Babraham Institute,1,1,0,0,1,Finance  IT/Systems,3 - low,babraham institute
Bayes Centre,1,1,0,0,1,Finance  IT/Systems,3 - low,bayes centre
Bennett Institute For Applied Data Science,1,1,0,0,1,Finance  IT/Systems,3 - low,bennett institute for applied data science
BIMM Institute,1,0,1,0,1,Research  IT/Systems,3 - low,bimm institute
BIMM University,1,1,0,0,1,Finance  IT/Systems,3 - low,bimm university
Blue Marble Research,1,1,0,0,1,Finance  IT/Systems,3 - low,blue marble research
BMG Research,1,1,0,0,1,Finance  IT/Systems,3 - low,bmg research
The Bodleian Libraries University Of Oxford,1,1,0,0,1,Finance  IT/Systems,3 - low,bodleian libraries university of oxford
California Polytechnic State University,1,0,1,0,1,Research  IT/Systems,3 - low,california polytechnic state university
Cardiff University Students Union,1,1,0,0,1,Finance  IT/Systems,3 - low,cardiff university students union
Centre For Health Economics,1,1,0,0,1,Finance  IT/Systems,3 - low,centre for health economics
